gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,Contract_Month-to-month,Contract_One year,Contract_Two year,InternetService_DSL,InternetService_Fiber optic,InternetService_No,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group,avg_monthly_spend_ratio,support_score,streaming_count,is_high_value,engagement_score,charge_per_tenure,high_risk_combo,contract_stability,has_any_protection,fiber_monthly_combo,payment_risk,total_services,loyalty_index
1,0,1,0,1,0,0,0,1,0,0,0,0,1,29.85,29.85,0,1,0,0,1,0,0,0,0,1,0,0,0.9675850891410048,1,0,0,1,14.925,0,0,1,0,1,1,0.03241491085899514
0,0,0,0,34,1,0,1,0,1,0,0,0,0,56.95,1889.5,0,0,1,0,1,0,0,0,0,0,1,2,0.0301243057392224,2,0,0,3,1.6271428571428572,0,1,1,0,0,3,0.5867126833477135
0,0,0,0,2,1,0,1,1,0,0,0,0,1,53.85,108.15,1,1,0,0,1,0,0,0,0,0,1,0,0.4933577645442052,2,0,0,3,17.95,0,0,1,0,0,3,0.03646308113035551
0,0,0,0,45,0,0,1,0,1,1,0,0,0,42.3,1840.75,0,0,1,0,1,0,0,1,0,0,0,2,0.0229672865481199,3,0,0,3,0.9195652173913043,0,1,1,0,0,3,1.0392609699769053
1,0,0,0,2,1,0,0,0,0,0,0,0,1,70.7,151.65,1,1,0,0,0,1,0,0,0,1,0,0,0.4631509990173599,0,0,0,1,23.566666666666666,1,0,0,1,1,1,0.02789400278940028
1,0,0,0,8,1,1,0,0,1,0,1,1,1,99.65,820.5,1,1,0,0,0,1,0,0,0,1,0,0,0.1213024954351795,1,2,1,5,11.072222222222223,1,0,1,1,1,5,0.07948335817188276
0,0,0,1,22,1,1,0,1,0,0,1,0,1,89.1,1949.4,0,1,0,0,0,1,0,0,1,0,0,1,0.04568293683347,1,1,0,4,3.8739130434782605,0,0,1,1,0,4,0.24417314095449502
1,0,0,0,10,0,0,1,0,0,0,0,0,0,29.75,301.9,0,1,0,0,1,0,0,0,0,0,1,0,0.0982172334103664,1,0,0,1,2.7045454545454546,0,0,1,0,0,1,0.3252032520325203
1,0,1,0,28,1,1,0,0,1,1,1,1,1,104.8,3046.05,1,1,0,0,0,1,0,0,0,1,0,2,0.0343939219901215,2,2,1,6,3.613793103448276,0,0,1,1,1,6,0.26465028355387527
0,0,0,1,62,1,0,1,1,0,0,0,0,0,56.15,3487.95,0,0,1,0,1,0,0,1,0,0,0,3,0.0160936671491422,2,0,0,3,0.8912698412698412,0,1,1,0,0,3,1.0848643919510061
0,0,1,1,13,1,0,1,0,0,0,0,0,1,49.95,587.45,0,1,0,0,1,0,0,0,0,0,1,1,0.0848840173336732,1,0,0,2,3.567857142857143,0,0,1,0,0,2,0.2551521099116781
0,0,0,0,16,1,0,0,0,0,0,0,0,0,18.95,326.8,0,0,0,1,0,0,1,0,1,0,0,1,0.0578096400244051,0,0,0,1,1.1147058823529412,0,2,0,0,0,1,0.8020050125313284
0,0,1,0,58,1,1,0,0,1,0,1,1,0,100.35,5681.1,0,0,1,0,0,1,0,0,1,0,0,3,0.0176607240280882,1,2,1,5,1.7008474576271186,0,1,1,0,0,5,0.5722742969906266
